gene_id,Symbol,product,,gene_synonym,EC_number
b1289,ycjD,DUF559 domain-containing protein YcjD,,ECK1284,
b1290,sapF,putrescine ABC exporter ATP binding protein SapF,,ECK1285,
b1291,sapD,putrescine ABC exporter ATP binding protein SapD,,ECK1286; trkE,
b1292,sapC,putrescine ABC exporter membrane protein SapC,,ECK1287,
b1293,sapB,putrescine ABC exporter membrane subunit SapB,,ECK1288,
b1294,sapA,putative periplasmic binding protein SapA,,ECK1289,
b1295,ymjA,DUF2543 domain-containing protein YmjA,,ECK1290,
b1296,puuP,putrescine:H(+) symporter PuuP,,ECK1291; ycjJ,
b4742,ymjE,protein YmjE,,ECK4599,
b1297,puuA,glutamate-putrescine ligase,,ECK1292; ycjK,6.3.1.11
b1298,puuD,gamma-glutamyl-gamma-aminobutyrate hydrolase,,ECK1293; ycjL,3.5.1.94
b1299,puuR,DNA-binding transcriptional repressor PuuR,,ECK1294; ycjC,
b1300,puuC,gamma-glutamyl-gamma-aminobutyraldehyde dehydrogenase,,aldH; ECK1295,1.2.1.19; 1.2.1.24; 1.2.1.99
b1301,puuB,gamma-glutamylputrescine oxidase,,ECK1296; ordL; ycjA,
b1302,puuE,4-aminobutyrate aminotransferase PuuE,,ECK1297; goaG,2.6.1.19; 2.6.1.48
b1303,pspF,DNA-binding transcriptional dual regulator PspF,,ECK1298; ycjB,
b1304,pspA,phage shock protein A,,cog; ECK1299,
b1305,pspB,phage shock protein B,,ECK1300,
b1306,pspC,phage shock protein C,,ECK1301,
b1307,pspD,phage shock protein D,,ECK1302,
b1308,pspE,thiosulfate sulfurtransferase PspE,,ECK1303,2.8.1.1
b1309,ycjM,glucosylglycerate phosphorylase,,ECK1304; ggaP,2.4.1.352
b1310,ycjN,putative ABC transporter periplasmic binding protein YcjN,,ECK1305,
b1311,ycjO,putative ABC transporter membrane subunit YcjO,,ECK1306,
b1312,ycjP,putative ABC transporter membrane subunit YcjP,,ECK1307,
b1313,ycjQ,D-guloside 3-dehydrogenase,,ECK1308,
b1314,ycjR,3-dehydro-D-guloside 4-epimerase,,dte; ECK1309,
b1315,ycjS,D-glucoside 3-dehydrogenase,,ECK1310,
b1316,ycjT,kojibiose phosphorylase,,ECK1311,2.4.1.230
b1317,ycjU,beta-phosphoglucomutase,,ECK1312; pgmB,5.4.2.6
b1318,ycjV,,,ECK1313,
b4524,ymjB,,,ECK1314,
b1319,ompG,outer membrane porin G,,ECK1315,
b1320,ycjW,DNA-binding transcriptional repressor YcjW,,ECK1316,
b1321,ycjX,DUF463 domain-containing protein YcjX,,ECK1317,
b1322,ycjF,DUF697 domain-containing inner membrane protein YcjF,,ECK1318,
b1323,tyrR,DNA-binding transcriptional dual regulator TyrR,,ECK1319,
b1324,tpx,lipid hydroperoxide peroxidase,,ECK1320; yzzJ,1.11.1.24
b1325,ycjG,L-Ala-D/L-Glu epimerase,,ECK1321; ycjH,5.1.1.20
b1326,mpaA,murein tripeptide amidase A,,ECK1322; ycjI,
b4525,ymjC,putative uncharacterized protein YmjC,,ECK1323,
b4673,ymjD,uncharacterized protein YmjD,,ECK4488,
b1327,ycjY,putative hydrolase YcjY,,ECK1324,
b1328,pgrR,DNA-binding transcriptional repressor PgrR,,ECK1325; ycjZ,
b1329,mppA,murein tripeptide ABC transporter periplasmic binding protein,,ECK1326; ynaH,
b1330,ynaI,small conductance mechanosensitive channel YnaI,,ECK1327,
b1331,insH4,IS5 transposase and trans-activator,,ECK0261; trs5-4; yi52_4,
b1332,ynaJ,DUF2534 domain-containing protein YnaJ,,ECK1328,
b1333,uspE,universal stress protein E,,ECK1329; ydaA,
b1334,fnr,DNA-binding transcriptional dual regulator FNR,,ECK1330; nirA; nirR; ossA; oxrA,
