gene_id,kegg_pathways,pathway_names,metabolite_group
AT5G22130,ath00563,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,alcohol-sugars
AT5G22300,ath00460,Cyanoamino acid metabolism,amino acids
AT5G22410,ath00360,Phenylalanine metabolism,amino acids
AT5G23010,ath00620,Pyruvate metabolism,other
AT5G23020,ath00620,Pyruvate metabolism,other
AT5G23070,ath00240,Pyrimidine metabolism,other
AT5G23250,ath00640,Propanoate metabolism,organic-acids
AT5G23300,ath00240,Pyrimidine metabolism,other
AT5G23670,ath00600,Sphingolipid metabolism,other
AT5G23710,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT5G24070,ath00360,Phenylalanine metabolism,amino acids
AT5G24090,ath00520,Amino sugar and nucleotide sugar metabolism,sugar
AT5G24140,ath00100,Steroid biosynthesis,other
AT5G24150,ath00100,Steroid biosynthesis,other
AT5G24160,ath00100,Steroid biosynthesis,other
AT5G24300,ath00500,Starch and sucrose metabolism,sugar
AT5G24400,ath00030,Pentose phosphate pathway,sugar
AT5G24410,ath00030,Pentose phosphate pathway,sugar
AT5G24420,ath00030,Pentose phosphate pathway,sugar
AT5G24760,ath00010; ath00071; ath00350,Glycolysis / Gluconeogenesis; Fatty acid degradation; Tyrosine metabolism,amino acids
AT5G25370,ath00564; ath00565,Glycerophospholipid metabolism; Ether lipid metabolism,other
AT5G25450,ath00190,Oxidative phosphorylation,other
AT5G25480,ath00270,Cysteine and methionine metabolism,amino acids
AT5G25620,ath00380,Tryptophan metabolism,amino acids
AT5G25880,ath00620; ath00710,Pyruvate metabolism; Carbon fixation in photosynthetic organisms,other
AT5G26667,ath00240,Pyrimidine metabolism,other
AT5G26780,ath00260; ath00460,"Glycine, serine and threonine metabolism; Cyanoamino acid metabolism",amino acids
AT5G27380,ath00480,Glutathione metabolism,other
AT5G27600,ath00071,Fatty acid degradation,organic-acids
AT5G27730,ath00531,Glycosaminoglycan degradation,other
AT5G28020,ath00920; ath00270,Sulfur metabolism; Cysteine and methionine metabolism,amino acids
AT5G28030,ath00920; ath00270,Sulfur metabolism; Cysteine and methionine metabolism,amino acids
AT5G28237,ath00260,"Glycine, serine and threonine metabolism",other
AT5G28450,ath00196,Photosynthesis – antenna proteins,other
AT5G28840,ath00053; ath00520,Ascorbate and aldarate metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT5G34780,ath00280,"Valine, leucine and isoleucine degradation",amino acids
AT5G35170,ath00230,Purine metabolism,other
AT5G35360,ath00620; ath00640; ath00061,Pyruvate metabolism; Propanoate metabolism; Fatty acid biosynthesis,organic-acids
AT5G35630,ath00910; ath00250; ath00330,"Nitrogen metabolism; Alanine, aspartate and glutamate metabolism; Arginine and proline metabolism",amino acids
AT5G35790,ath00030; ath00480,Pentose phosphate pathway; Glutathione metabolism,sugar
AT5G36160,ath00270; ath00350; ath00360,Cysteine and methionine metabolism; Tyrosine metabolism; Phenylalanine metabolism,amino acids
AT5G36880,ath00010; ath00620; ath00640,Glycolysis / Gluconeogenesis; Pyruvate metabolism; Propanoate metabolism,sugar
AT5G37510,ath00190,Oxidative phosphorylation,other
AT5G37600,ath00910; ath00250; ath00330,"Nitrogen metabolism; Alanine, aspartate and glutamate metabolism; Arginine and proline metabolism",amino acids
AT5G37830,ath00480,Glutathione metabolism,other
AT5G37850,ath00750,Vitamin B6 metabolism,other
AT5G38410,ath00630; ath00710,Glyoxylate and dicarboxylate metabolism; Carbon fixation in photosynthetic organisms,organic-acids
AT5G38420,ath00630; ath00710,Glyoxylate and dicarboxylate metabolism; Carbon fixation in photosynthetic organisms,organic-acids
AT5G38430,ath00630; ath00710,Glyoxylate and dicarboxylate metabolism; Carbon fixation in photosynthetic organisms,organic-acids
AT5G38460,ath00510,N-Glycan biosynthesis,other
AT5G38530,ath00260,"Glycine, serine and threonine metabolism",other
AT5G38710,ath00330,Arginine and proline metabolism,amino acids
AT5G39320,ath00040; ath00053; ath00500; ath00520,Pentose and glucuronate interconversions; Ascorbate and aldarate metabolism; Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT5G39400,ath00562,Inositol phosphate metabolism,alcohol-sugars
AT5G40150,ath00360,Phenylalanine metabolism,amino acids
AT5G40610,ath00564,Glycerophospholipid metabolism,other
AT5G40650,ath00190,Oxidative phosphorylation,other
AT5G40760,ath00030; ath00480,Pentose phosphate pathway; Glutathione metabolism,sugar
AT5G40810,ath00190,Oxidative phosphorylation,other
AT5G40870,ath00240,Pyrimidine metabolism,other
AT5G41010,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT5G41670,ath00030; ath00480,Pentose phosphate pathway; Glutathione metabolism,sugar
AT5G41880,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT5G42180,ath00360,Phenylalanine metabolism,amino acids
AT5G42250,ath00010; ath00071; ath00350,Glycolysis / Gluconeogenesis; Fatty acid degradation; Tyrosine metabolism,amino acids
AT5G42260,ath00500; ath00460,Starch and sucrose metabolism; Cyanoamino acid metabolism,amino acids
AT5G42650,ath00592,alpha-Linolenic acid metabolism,organic-acids
AT5G42740,ath00010; ath00030; ath00500; ath00520,Glycolysis / Gluconeogenesis; Pentose phosphate pathway; Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT5G43330,ath00620; ath00630; ath00710,Pyruvate metabolism; Glyoxylate and dicarboxylate metabolism; Carbon fixation in photosynthetic organisms,organic-acids
AT5G43780,ath00920; ath00230; ath00450,Sulfur metabolism; Purine metabolism; Selenocompound metabolism,other
AT5G43890,ath00380,Tryptophan metabolism,amino acids
AT5G43940,ath00010; ath00071; ath00350,Glycolysis / Gluconeogenesis; Fatty acid degradation; Tyrosine metabolism,amino acids
AT5G44480,ath00520,Amino sugar and nucleotide sugar metabolism,sugar
AT5G44520,ath00030; ath00710,Pentose phosphate pathway; Carbon fixation in photosynthetic organisms,sugar
AT5G44640,ath00500; ath00460,Starch and sucrose metabolism; Cyanoamino acid metabolism,amino acids
AT5G45040,ath00195,Photosynthesis,other
AT5G45140,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT5G46180,ath00330,Arginine and proline metabolism,amino acids
AT5G46850,ath00563,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,alcohol-sugars
AT5G47000,ath00360,Phenylalanine metabolism,amino acids
AT5G47030,ath00190,Oxidative phosphorylation,other
AT5G47330,ath00062,Fatty acid elongation,organic-acids
AT5G47340,ath00062,Fatty acid elongation,organic-acids
AT5G47435,ath00630,Glyoxylate and dicarboxylate metabolism,organic-acids
AT5G47720,ath00620; ath00630; ath00640; ath00650; ath00071; ath00072; ath00280; ath00380,"Pyruvate metabolism; Glyoxylate and dicarboxylate metabolism; Propanoate metabolism; Butanoate metabolism; Fatty acid degradation; Synthesis and degradation of ketone bodies; Valine, leucine and isoleucine degradation; Tryptophan metabolism",organic-acids
AT5G47780,ath00500; ath00520,Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT5G47810,ath00010; ath00030; ath00051; ath00052,Glycolysis / Gluconeogenesis; Pentose phosphate pathway; Fructose and mannose metabolism; Galactose metabolism,sugar
AT5G47840,ath00230,Purine metabolism,other
AT5G47890,ath00190,Oxidative phosphorylation,other
AT5G48230,ath00620; ath00630; ath00640; ath00650; ath00071; ath00072; ath00280; ath00380,"Pyruvate metabolism; Glyoxylate and dicarboxylate metabolism; Propanoate metabolism; Butanoate metabolism; Fatty acid degradation; Synthesis and degradation of ketone bodies; Valine, leucine and isoleucine degradation; Tryptophan metabolism",organic-acids
AT5G48300,ath00500; ath00520,Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT5G48840,ath00410,beta-Alanine metabolism,amino acids
AT5G48880,ath00071; ath01040; ath00280,"Fatty acid degradation; Biosynthesis of unsaturated fatty acids; Valine, leucine and isoleucine degradation",organic-acids
AT5G48900,ath00040,Pentose and glucuronate interconversions,sugar
AT5G49160,ath00270,Cysteine and methionine metabolism,amino acids
AT5G49180,ath00040; ath00500,Pentose and glucuronate interconversions; Starch and sucrose metabolism,sugar
AT5G49190,ath00500,Starch and sucrose metabolism,sugar
AT5G49650,ath00040,Pentose and glucuronate interconversions,sugar
AT5G49810,ath00450,Selenocompound metabolism,other
AT5G50370,ath00230,Purine metabolism,other
AT5G50375,ath00100,Steroid biosynthesis,other
AT5G50420,ath00514,O-Glycan biosynthesis,other
AT5G50850,ath00010; ath00620; ath00650,Glycolysis / Gluconeogenesis; Pyruvate metabolism; Butanoate metabolism,sugar
AT5G51820,ath00010; ath00030; ath00052; ath00500; ath00520; ath00230,Glycolysis / Gluconeogenesis; Pentose phosphate pathway; Galactose metabolism; Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism; Purine metabolism,sugar
AT5G51830,ath00051; ath00500; ath00520,Fructose and mannose metabolism; Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT5G51890,ath00360,Phenylalanine metabolism,amino acids
AT5G51940,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT5G51970,ath00051,Fructose and mannose metabolism,sugar
AT5G52100,ath00300,Lysine biosynthesis,amino acids
AT5G52560,ath00520,Amino sugar and nucleotide sugar metabolism,sugar
AT5G52840,ath00190,Oxidative phosphorylation,other
AT5G52920,ath00010; ath00620; ath00710; ath00230,Glycolysis / Gluconeogenesis; Pyruvate metabolism; Carbon fixation in photosynthetic organisms; Purine metabolism,sugar
AT5G53120,ath00270; ath00330; ath00410; ath00480,Cysteine and methionine metabolism; Arginine and proline metabolism; beta-Alanine metabolism; Glutathione metabolism,amino acids
AT5G53460,ath00910; ath00250,"Nitrogen metabolism; Alanine, aspartate and glutamate metabolism",amino acids
AT5G53850,ath00270,Cysteine and methionine metabolism,amino acids
AT5G53970,ath00270; ath00350; ath00360,Cysteine and methionine metabolism; Tyrosine metabolism; Phenylalanine metabolism,amino acids
AT5G54270,ath00196,Photosynthesis – antenna proteins,other
AT5G54390,ath00920,Sulfur metabolism,other
AT5G54690,ath00500; ath00520,Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT5G54810,ath00260,"Glycine, serine and threonine metabolism",other
AT5G54960,ath00010,Glycolysis / Gluconeogenesis,sugar
AT5G55120,ath00053,Ascorbate and aldarate metabolism,acid-sugars
AT5G55290,ath00190,Oxidative phosphorylation,other
AT5G55720,ath00040,Pentose and glucuronate interconversions,sugar
AT5G56090,ath00190,Oxidative phosphorylation,other
AT5G56350,ath00010; ath00620; ath00710; ath00230,Glycolysis / Gluconeogenesis; Pyruvate metabolism; Carbon fixation in photosynthetic organisms; Purine metabolism,sugar
AT5G56630,ath00010; ath00030; ath00051; ath00052,Glycolysis / Gluconeogenesis; Pentose phosphate pathway; Fructose and mannose metabolism; Galactose metabolism,sugar
AT5G56640,ath00053; ath00562,Ascorbate and aldarate metabolism; Inositol phosphate metabolism,alcohol-sugars
AT5G56720,ath00620; ath00630; ath00710,Pyruvate metabolism; Glyoxylate and dicarboxylate metabolism; Carbon fixation in photosynthetic organisms,organic-acids
AT5G56760,ath00920; ath00270,Sulfur metabolism; Cysteine and methionine metabolism,amino acids
AT5G57330,ath00010,Glycolysis / Gluconeogenesis,sugar
AT5G57350,ath00190,Oxidative phosphorylation,other
AT5G57655,ath00040; ath00051,Pentose and glucuronate interconversions; Fructose and mannose metabolism,sugar
AT5G57815,ath00190,Oxidative phosphorylation,other
AT5G57850,ath00280,"Valine, leucine and isoleucine degradation",amino acids
AT5G58220,ath00230,Purine metabolism,other
AT5G58240,ath00230,Purine metabolism,other
AT5G58390,ath00360,Phenylalanine metabolism,amino acids
AT5G58400,ath00360,Phenylalanine metabolism,amino acids
AT5G58670,ath00562,Inositol phosphate metabolism,alcohol-sugars
AT5G58690,ath00562,Inositol phosphate metabolism,alcohol-sugars
AT5G58700,ath00562,Inositol phosphate metabolism,alcohol-sugars
AT5G59180,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT5G59440,ath00240,Pyrimidine metabolism,other
AT5G59750,ath00740,Riboflavin metabolism,other
AT5G60040,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT5G60540,ath00750,Vitamin B6 metabolism,other
AT5G60620,ath00561; ath00564,Glycerolipid metabolism; Glycerophospholipid metabolism,other
AT5G61410,ath00030; ath00040; ath00710,Pentose phosphate pathway; Pentose and glucuronate interconversions; Carbon fixation in photosynthetic organisms,sugar
AT5G61540,ath00511,Other glycan degradation,other
AT5G61580,ath00010; ath00030; ath00051; ath00052,Glycolysis / Gluconeogenesis; Pentose phosphate pathway; Fructose and mannose metabolism; Galactose metabolism,sugar
AT5G62530,ath00250; ath00330,"Alanine, aspartate and glutamate metabolism; Arginine and proline metabolism",amino acids
AT5G62670,ath00190,Oxidative phosphorylation,other
AT5G63180,ath00040,Pentose and glucuronate interconversions,sugar
AT5G63310,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT5G63400,ath00230,Purine metabolism,other
AT5G63680,ath00010; ath00620; ath00710; ath00230,Glycolysis / Gluconeogenesis; Pyruvate metabolism; Carbon fixation in photosynthetic organisms; Purine metabolism,sugar
AT5G63770,ath00561; ath00564,Glycerolipid metabolism; Glycerophospholipid metabolism,other
AT5G63840,ath00510,N-Glycan biosynthesis,other
AT5G63890,ath00340,Histidine metabolism,amino acids
AT5G63960,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT5G63980,ath00562; ath00920,Inositol phosphate metabolism; Sulfur metabolism,alcohol-sugars
AT5G63990,ath00562; ath00920,Inositol phosphate metabolism; Sulfur metabolism,alcohol-sugars
AT5G64000,ath00562; ath00920,Inositol phosphate metabolism; Sulfur metabolism,alcohol-sugars
AT5G64040,ath00195,Photosynthesis,other
AT5G64070,ath00562,Inositol phosphate metabolism,alcohol-sugars
AT5G64100,ath00360,Phenylalanine metabolism,amino acids
AT5G64110,ath00360,Phenylalanine metabolism,amino acids
AT5G64120,ath00360,Phenylalanine metabolism,amino acids
AT5G64300,ath00740,Riboflavin metabolism,other
AT5G64370,ath00240; ath00410,Pyrimidine metabolism; beta-Alanine metabolism,amino acids
AT5G64380,ath00010; ath00030; ath00051; ath00710,Glycolysis / Gluconeogenesis; Pentose phosphate pathway; Fructose and mannose metabolism; Carbon fixation in photosynthetic organisms,sugar
AT5G64860,ath00500,Starch and sucrose metabolism,sugar
AT5G65010,ath00910; ath00250,"Nitrogen metabolism; Alanine, aspartate and glutamate metabolism",amino acids
AT5G65110,ath00071; ath00592; ath01040,Fatty acid degradation; alpha-Linolenic acid metabolism; Biosynthesis of unsaturated fatty acids,organic-acids
AT5G65165,ath00190,Oxidative phosphorylation,other
AT5G65690,ath00010; ath00620; ath00710,Glycolysis / Gluconeogenesis; Pyruvate metabolism; Carbon fixation in photosynthetic organisms,sugar
AT5G65720,ath00730,Thiamine metabolism,other
AT5G65750,ath00380,Tryptophan metabolism,amino acids
AT5G65780,ath00280,"Valine, leucine and isoleucine degradation",amino acids
AT5G65800,ath00270,Cysteine and methionine metabolism,amino acids
AT5G65940,ath00640; ath00280; ath00410,"Propanoate metabolism; Valine, leucine and isoleucine degradation; beta-Alanine metabolism",amino acids
AT5G66005,ath00230; ath00730,Purine metabolism; Thiamine metabolism,other
AT5G66060,ath00330,Arginine and proline metabolism,amino acids
AT5G66150,ath00511,Other glycan degradation,other
AT5G66190,ath00195,Photosynthesis,other
AT5G66280,ath00051; ath00520,Fructose and mannose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT5G66390,ath00360,Phenylalanine metabolism,amino acids
AT5G66570,ath00195,Photosynthesis,other
AT5G66680,ath00510,N-Glycan biosynthesis,other
AT5G66760,ath00190,Oxidative phosphorylation,other
AT5G67100,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT5G67400,ath00360,Phenylalanine metabolism,amino acids
AT5G67520,ath00920; ath00230,Sulfur metabolism; Purine metabolism,other
AT5G67590,ath00190,Oxidative phosphorylation,other
