gene_id,kegg_pathways,pathway_names,metabolite_group
AT3G28490,ath00330,Arginine and proline metabolism,amino acids
AT3G28710,ath00190,Oxidative phosphorylation,other
AT3G28715,ath00190,Oxidative phosphorylation,other
AT3G29090,ath00040; ath00500,Pentose and glucuronate interconversions; Starch and sucrose metabolism,sugar
AT3G29320,ath00500,Starch and sucrose metabolism,sugar
AT3G29360,ath00040; ath00053; ath00500; ath00520,Pentose and glucuronate interconversions; Ascorbate and aldarate metabolism; Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT3G30775,ath00330,Arginine and proline metabolism,amino acids
AT3G42050,ath00190,Oxidative phosphorylation,other
AT3G42640,ath00190,Oxidative phosphorylation,other
AT3G42850,ath00520,Amino sugar and nucleotide sugar metabolism,sugar
AT3G43190,ath00500,Starch and sucrose metabolism,sugar
AT3G43270,ath00040; ath00500,Pentose and glucuronate interconversions; Starch and sucrose metabolism,sugar
AT3G43800,ath00480,Glutathione metabolism,other
AT3G43860,ath00500,Starch and sucrose metabolism,sugar
AT3G44300,ath00910; ath00380; ath00460,Nitrogen metabolism; Tryptophan metabolism; Cyanoamino acid metabolism,amino acids
AT3G44310,ath00910; ath00380; ath00460,Nitrogen metabolism; Tryptophan metabolism; Cyanoamino acid metabolism,amino acids
AT3G44320,ath00910; ath00380; ath00460,Nitrogen metabolism; Tryptophan metabolism; Cyanoamino acid metabolism,amino acids
AT3G45040,ath00510,N-Glycan biosynthesis,other
AT3G45100,ath00563,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,alcohol-sugars
AT3G45130,ath00100,Steroid biosynthesis,other
AT3G45140,ath00592,alpha-Linolenic acid metabolism,organic-acids
AT3G45300,ath00280,"Valine, leucine and isoleucine degradation",amino acids
AT3G45770,ath00062,Fatty acid elongation,organic-acids
AT3G45940,ath00052; ath00500,Galactose metabolism; Starch and sucrose metabolism,sugar
AT3G46940,ath00240,Pyrimidine metabolism,other
AT3G46970,ath00500,Starch and sucrose metabolism,sugar
AT3G47000,ath00500; ath00460,Starch and sucrose metabolism; Cyanoamino acid metabolism,amino acids
AT3G47050,ath00500; ath00460,Starch and sucrose metabolism; Cyanoamino acid metabolism,amino acids
AT3G47340,ath00910; ath00250,"Nitrogen metabolism; Alanine, aspartate and glutamate metabolism",amino acids
AT3G47450,ath00330,Arginine and proline metabolism,amino acids
AT3G47470,ath00196,Photosynthesis – antenna proteins,other
AT3G47520,ath00620; ath00630; ath00710,Pyruvate metabolism; Glyoxylate and dicarboxylate metabolism; Carbon fixation in photosynthetic organisms,organic-acids
AT3G47800,ath00010,Glycolysis / Gluconeogenesis,sugar
AT3G47930,ath00053,Ascorbate and aldarate metabolism,acid-sugars
AT3G47950,ath00190,Oxidative phosphorylation,other
AT3G48000,ath00010; ath00040; ath00053; ath00620; ath00640; ath00071; ath00561; ath00280; ath00330; ath00340; ath00380; ath00410,"Glycolysis / Gluconeogenesis; Pentose and glucuronate interconversions; Ascorbate and aldarate metabolism; Pyruvate metabolism; Propanoate metabolism; Fatty acid degradation; Glycerolipid metabolism; Valine, leucine and isoleucine degradation; Arginine and proline metabolism; Histidine metabolism; Tryptophan metabolism; beta-Alanine metabolism",amino acids
AT3G48170,ath00260,"Glycine, serine and threonine metabolism",other
AT3G48540,ath00240,Pyrimidine metabolism,other
AT3G48560,ath00650; ath00660,Butanoate metabolism; C5-Branched dibasic acid metabolism,organic-acids
AT3G48610,ath00562; ath00564; ath00565,Inositol phosphate metabolism; Glycerophospholipid metabolism; Ether lipid metabolism,alcohol-sugars
AT3G48780,ath00600,Sphingolipid metabolism,other
AT3G48790,ath00600,Sphingolipid metabolism,other
AT3G49000,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT3G49110,ath00360,Phenylalanine metabolism,amino acids
AT3G49120,ath00360,Phenylalanine metabolism,amino acids
AT3G49160,ath00010; ath00620; ath00710; ath00230,Glycolysis / Gluconeogenesis; Pyruvate metabolism; Carbon fixation in photosynthetic organisms; Purine metabolism,sugar
AT3G49360,ath00030,Pentose phosphate pathway,sugar
AT3G49680,ath00280,"Valine, leucine and isoleucine degradation",amino acids
AT3G49700,ath00270,Cysteine and methionine metabolism,amino acids
AT3G49960,ath00360,Phenylalanine metabolism,amino acids
AT3G50110,ath00562,Inositol phosphate metabolism,alcohol-sugars
AT3G50520,ath00010,Glycolysis / Gluconeogenesis,sugar
AT3G50820,ath00195,Photosynthesis,other
AT3G51160,ath00051; ath00520,Fructose and mannose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT3G51840,ath00071; ath00592; ath01040,Fatty acid degradation; alpha-Linolenic acid metabolism; Biosynthesis of unsaturated fatty acids,organic-acids
AT3G52090,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT3G52200,ath00010; ath00620,Glycolysis / Gluconeogenesis; Pyruvate metabolism,sugar
AT3G52300,ath00190,Oxidative phosphorylation,other
AT3G52720,ath00910,Nitrogen metabolism,other
AT3G52730,ath00190,Oxidative phosphorylation,other
AT3G52840,ath00052; ath00600; ath00511,Galactose metabolism; Sphingolipid metabolism; Other glycan degradation,sugar
AT3G52880,ath00053,Ascorbate and aldarate metabolism,acid-sugars
AT3G52930,ath00010; ath00030; ath00051; ath00710,Glycolysis / Gluconeogenesis; Pentose phosphate pathway; Fructose and mannose metabolism; Carbon fixation in photosynthetic organisms,sugar
AT3G52940,ath00100,Steroid biosynthesis,other
AT3G52990,ath00010; ath00620; ath00710; ath00230,Glycolysis / Gluconeogenesis; Pyruvate metabolism; Carbon fixation in photosynthetic organisms; Purine metabolism,sugar
AT3G53190,ath00040,Pentose and glucuronate interconversions,sugar
AT3G53260,ath00910; ath00360,Nitrogen metabolism; Phenylalanine metabolism,amino acids
AT3G53580,ath00300,Lysine biosynthesis,amino acids
AT3G53620,ath00190,Oxidative phosphorylation,other
AT3G53900,ath00240,Pyrimidine metabolism,other
AT3G54050,ath00010; ath00030; ath00051; ath00710,Glycolysis / Gluconeogenesis; Pentose phosphate pathway; Fructose and mannose metabolism; Carbon fixation in photosynthetic organisms,sugar
AT3G54420,ath00520,Amino sugar and nucleotide sugar metabolism,sugar
AT3G54440,ath00052; ath00600; ath00511,Galactose metabolism; Sphingolipid metabolism; Other glycan degradation,sugar
AT3G54470,ath00240,Pyrimidine metabolism,other
AT3G54640,ath00260,"Glycine, serine and threonine metabolism",other
AT3G54660,ath00480,Glutathione metabolism,other
AT3G54890,ath00196,Photosynthesis – antenna proteins,other
AT3G54920,ath00040,Pentose and glucuronate interconversions,sugar
AT3G55010,ath00230,Purine metabolism,other
AT3G55030,ath00564,Glycerophospholipid metabolism,other
AT3G55140,ath00040,Pentose and glucuronate interconversions,sugar
AT3G55260,ath00520; ath00531; ath00603; ath00604; ath00511,Amino sugar and nucleotide sugar metabolism; Glycosaminoglycan degradation; Glycosphingolipid biosynthesis – globo series; Glycosphingolipid biosynthesis – ganglio series; Other glycan degradation,sugar
AT3G55330,ath00195,Photosynthesis,other
AT3G55360,ath01040,Biosynthesis of unsaturated fatty acids,organic-acids
AT3G55400,ath00450,Selenocompound metabolism,other
AT3G55410,ath00380,Tryptophan metabolism,amino acids
AT3G55440,ath00010; ath00051; ath00562; ath00710,Glycolysis / Gluconeogenesis; Fructose and mannose metabolism; Inositol phosphate metabolism; Carbon fixation in photosynthetic organisms,sugar
AT3G55590,ath00051; ath00520,Fructose and mannose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT3G55610,ath00330,Arginine and proline metabolism,amino acids
AT3G55650,ath00010; ath00620; ath00710; ath00230,Glycolysis / Gluconeogenesis; Pyruvate metabolism; Carbon fixation in photosynthetic organisms; Purine metabolism,sugar
AT3G55800,ath00710,Carbon fixation in photosynthetic organisms,other
AT3G55810,ath00010; ath00620; ath00710; ath00230,Glycolysis / Gluconeogenesis; Pyruvate metabolism; Carbon fixation in photosynthetic organisms; Purine metabolism,sugar
AT3G55940,ath00562,Inositol phosphate metabolism,alcohol-sugars
AT3G56310,ath00052; ath00561; ath00600; ath00603,Galactose metabolism; Glycerolipid metabolism; Sphingolipid metabolism; Glycosphingolipid biosynthesis – globo series,sugar
AT3G56960,ath00562,Inositol phosphate metabolism,alcohol-sugars
AT3G57050,ath00910; ath00920; ath00270; ath00450,Nitrogen metabolism; Sulfur metabolism; Cysteine and methionine metabolism; Selenocompound metabolism,amino acids
AT3G57220,ath00510,N-Glycan biosynthesis,other
AT3G57510,ath00040; ath00500,Pentose and glucuronate interconversions; Starch and sucrose metabolism,sugar
AT3G57550,ath00230,Purine metabolism,other
AT3G57560,ath00300; ath00330,Lysine biosynthesis; Arginine and proline metabolism,amino acids
AT3G57610,ath00230; ath00250,"Purine metabolism; Alanine, aspartate and glutamate metabolism",amino acids
AT3G57650,ath00561; ath00564,Glycerolipid metabolism; Glycerophospholipid metabolism,other
AT3G57660,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT3G58670,ath00430,Taurine and hypotaurine metabolism,other
AT3G58730,ath00190,Oxidative phosphorylation,other
AT3G58740,ath00630,Glyoxylate and dicarboxylate metabolism,organic-acids
AT3G58750,ath00630,Glyoxylate and dicarboxylate metabolism,organic-acids
AT3G58790,ath00500; ath00520,Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT3G58990,ath00660,C5-Branched dibasic acid metabolism,organic-acids
AT3G59480,ath00051; ath00500; ath00520,Fructose and mannose metabolism; Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT3G59600,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT3G59760,ath00920; ath00270,Sulfur metabolism; Cysteine and methionine metabolism,amino acids
AT3G59850,ath00040; ath00500,Pentose and glucuronate interconversions; Starch and sucrose metabolism,sugar
AT3G59890,ath00300,Lysine biosynthesis,amino acids
AT3G60100,ath00630,Glyoxylate and dicarboxylate metabolism,organic-acids
AT3G60180,ath00240,Pyrimidine metabolism,other
AT3G60330,ath00190,Oxidative phosphorylation,other
AT3G60340,ath00062,Fatty acid elongation,organic-acids
AT3G60750,ath00030; ath00710,Pentose phosphate pathway; Carbon fixation in photosynthetic organisms,sugar
AT3G60880,ath00300,Lysine biosynthesis,amino acids
AT3G61130,ath00500; ath00520,Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT3G61440,ath00920; ath00270; ath00460,Sulfur metabolism; Cysteine and methionine metabolism; Cyanoamino acid metabolism,amino acids
AT3G61470,ath00196,Photosynthesis – antenna proteins,other
AT3G61510,ath00270,Cysteine and methionine metabolism,amino acids
AT3G61610,ath00010,Glycolysis / Gluconeogenesis,sugar
AT3G62790,ath00190,Oxidative phosphorylation,other
AT3G63080,ath00590; ath00480,Arachidonic acid metabolism; Glutathione metabolism,organic-acids
AT3G63250,ath00270,Cysteine and methionine metabolism,amino acids
AT4G00110,ath00500; ath00520,Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT4G00400,ath00561; ath00564,Glycerolipid metabolism; Glycerophospholipid metabolism,other
